ID;DATA;USER;VALOR;DESCRICAO;FORMA_PGTO;NATUREZA;CONTA_BANCOS
1;06/01/2023;email@email.com;2101,47;Proventos;Pix;Receber;1
2;06/02/2023;email@email.com;2603,05;Proventos;Pix;Receber;1
3;06/03/2023;email@email.com;2453,99;Proventos;Pix;Receber;1
4;14/02/2023;email@email.com;163,56;Pix recebido;Pix;Receber;1
5;06/01/2023;email@email.com;1063,83;Pgto Fatura;Débito;Pagar;1
6;06/02/2023;email@email.com;988,59;Pgto Fatura;Débito;Pagar;1
7;06/01/2023;email@email.com;97,26;Internet;Débito;Pagar;1
8;06/01/2023;email@email.com;73,25;Luz;Débito;Pagar;1
9;06/01/2023;email@email.com;89,68;Água;Débito;Pagar;1
10;06/02/2023;email@email.com;35;Outras Despesas;Pix;Pagar;1
11;07/02/2023;email@email.com;32,19;Outras Despesas;Débito;Pagar;1
12;07/03/2023;email@email.com;983,55;Pgto Fatura;Débito;Pagar;1
13;06/01/2023;email@email.com;13,5;Outras Despesas;Pix;Pagar;77
14;09/01/2023;email@email.com;300;Resgate Aplicação;Débito;Receber;77
17;09/01/2023;email@email.com;64,25;Pgto Fatura;Débito;Pagar;323
18;09/01/2023;email@email.com;551,46;Outras Receitas;Débito;Receber;77
20;09/01/2023;email@email.com;100;Outras Despesas;Débito;Pagar;77
23;23/01/2023;email@email.com;1,29;Outras Despesas;Pix;Pagar;77
24;26/01/2023;email@email.com;100;Resgate Aplicação;Débito;Receber;77
25;26/01/2023;email@email.com;89,19;Água;Débito;Pagar;77
26;31/01/2023;email@email.com;100;Pix Recebido;Pix;Receber;77
28;15/01/2023;email@email.com;108,89;Pgto Fatura;Débito;Pagar;323
29;09/01/2023;email@email.com;12;Outras Despesas;Pix;Pagar;323
30;14/02/2023;email@email.com;179;Pgto Fatura;Débito;Pagar;323
31;07/02/2023;email@email.com;79,99;Internet;Débito;Pagar;77
32;07/02/2023;email@email.com;72,82;Luz;Débito;Pagar;77
33;07/02/2023;email@email.com;90,94;Transporte;Pix;Pagar;77
34;07/02/2023;email@email.com;715;Resgate Aplicação;Débito;Receber;77
35;07/02/2023;email@email.com;1152,99;Pgto Fatura;Débito;Pagar;77
36;07/02/2023;email@email.com;100;Resgate Aplicação;Débito;Receber;77
37;08/02/2023;email@email.com;20;Alimentação;Pix;Pagar;77
38;15/02/2023;email@email.com;35;Alimentação;Débito;Pagar;77
39;15/02/2023;email@email.com;90;Pix Recebido;Pix;Receber;77
40;17/02/2023;email@email.com;53,01;Alimentação;Pix;Pagar;77
41;27/02/2023;email@email.com;100;Pix Recebido;Pix;Receber;77
42;02/03/2023;email@email.com;80,24;Luz;Débito;Pagar;77
43;05/03/2023;email@email.com;562,4;Resgate Aplicação;Débito;Receber;77
44;06/03/2023;email@email.com;10;Outras Despesas;Pix;Pagar;77
45;02/03/2023;email@email.com;336,61;Pgto Fatura;Débito;Pagar;323
46;06/02/2023;email@email.com;83,22;Pgto Fatura;Pix;Pagar;323
47;08/02/2023;email@email.com;76,31;Resgate Aplicação;Pix;Receber;77
48;08/03/2023;email@email.com;86,49;Água;Débito;Pagar;1
49;10/01/2023;email@email.com;37;Alimentação;Crédito;Pagar;1
50;21/01/2023;email@email.com;38,9;Petshop;Crédito;Pagar;1
51;07/01/2023;email@email.com;207,88;Mercado;Crédito;Pagar;1
52;09/01/2023;email@email.com;76,81;Mercado;Crédito;Pagar;1
53;14/01/2023;email@email.com;355,95;Mercado;Crédito;Pagar;1
